No Kel Layanan;MDC;Kelompok layanan;"Kode
ICD";Deskripsi ICD/Nama Penyakit;"Tujuan
Kompetensi"
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.7;Left bundle-branch block, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.0;Right fascicular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.1;Other and unspecified right bundle-branch block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.2;Bifascicular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.3;Trifascicular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.4;Nonspecific intraventricular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.5;Other specified heart block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.6;Pre-excitation syndrome;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.8;Other specified conduction disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I45.9;Conduction disorder, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I46.0;Cardiac arrest with successful resuscitation;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I46.1;Sudden cardiac death, so described;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I46.9;Cardiac arrest, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I47.0;Re-entry ventricular arrhythmia;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I47.1;Supraventricular tachycardia;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I47.2;Ventricular tachycardia;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I47.9;Paroxysmal tachycardia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I48;Atrial fibrillation and flutter;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.0;Ventricular fibrillation and flutter;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.00;"Ventricular fibrillation and flutter with structural heart diseases
(IM)";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.01;"Ventricular fibrillation and flutter without structural heart diseases
(idiopathic)(Bugrada sy (IM)";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.09;Ventricular fibrillation and flutter, unspecified (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.1;Atrial premature depolarization;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.2;Junctional premature depolarization;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.3;Ventricular premature depolarization;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.4;Other and unspecified premature depolarization;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.5;Sick sinus syndrome;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.8;Other specified cardiac arrhythmias;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I49.9;Cardiac arrhythmia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I50.0;Congestive heart failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I50.1;Left ventricular failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I50.9;Heart failure, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.0;Cardiac septal defect, acquired;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.1;Rupture of chordae tendineae, not elsewhere classified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.2;Rupture of papillary muscle, not elsewhere classified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.3;Intracardiac thrombosis, not elsewhere classified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.4;Myocarditis, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.5;Myocardial degeneration;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.6;Cardiovascular disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.7;Cardiomegaly;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.8;Other ill-defined heart diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I51.9;Heart disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I52.0*;Other heart disorders in bacterial diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I52.1*;"Oth heart disorders in oth infectious and parasitic disease
classified elsewhere";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I52.8*;Other heart disorders in other diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I62.9;Intracranial haemorrhage (nontraumatic), unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I63.8;Other cerebral infarction;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I63.9;Cerebral infarction, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I64;Stroke, not specified as haemorrhage or infarction;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I73.8;Other specified peripheral vascular diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I73.9;Peripheral vascular disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I83.1;Varicose veins of lower extremities with inflammation;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I83.9;Varicose veins lower extremities without ulcer or inflammation;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I86.0;Sublingual varices;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I86.8;Varicose veins of other specified sites;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.0;Idiopathic hypotension;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.1;Orthostatic hypotension;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.2;Hypotension due to drugs;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.3;Neural-mediated hypotension (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.8;Other hypotension;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I95.9;Hypotension, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I97.0;Postcardiotomy syndrome;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I97.1;Other functional disturbances following cardiac surgery;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I97.8;"Other postprocedural disorders of circulatory system , not
elsewhere classified";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I97.9;Postprocedural disorder of circulatory system, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I98.1*;"Cardiovascular disorder other infectious and parasitic diseases
classified elsewhere";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I98.8*;"Other specified disorders of circulatory system in diseases
classified elsewhere";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I99;Other and unspecified disorders of circulatory system;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J11.0;Influenza with pneumonia, virus not identified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J15.8;Other bacterial pneumonia;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J15.88;Other bacterial pneumonia (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J15.9;Bacterial pneumonia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J18.0;Bronchopneumonia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J18.1;Lobar pneumonia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J18.8;Other pneumonia, organism unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J18.9;Pneumonia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J44.0;"Chronic obstructive pulmonary disease with acute lower
respiratory infection";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J44.1;"Chronic obstructive pulmonary disease with acute exacerbation,
unspecified";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J44.8;Other specified chronic obstructive pulmonary disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J44.9;Chronic obstructive pulmonary disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J69.0;Pneumonitis due to food and vomit;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J69.1;Pneumonitis due to oils and essences;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J69.8;Pneumonitis due to other solids and liquids;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J80;Adult respiratory distress syndrome;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J95.1;Acute pulmonary insufficiency following thoracic surgery;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J95.2;Acute pulmonary insufficiency following nonthoracic surgery;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J95.3;Chronic pulmonary insufficiency following surgery;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J96.0;Acute respiratory failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J96.1;Chronic respiratory failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;J98.1;Pulmonary collapse;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;L89.0;Stage I decubitus ulcer and pressure area;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;L89.1;Stage II decubitus ulcer;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;L89.2;Stage III decubitus ulcer;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;L89.3;Stage IV decubitus ulcer;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;L89.9;Decubitus ulcer and pressure area, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;N17.8;Other acute renal failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;N17.9;Acute renal failure, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R00.0;Tachycardia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R00.1;Bradycardia, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R00.2;Palpitations;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R00.8;Other and unspecified abnormalities of heart beat;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R01.0;Benign and innocent cardiac murmurs;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R01.1;Cardiac murmur, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R01.2;Other cardiac sounds;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R02;Gangrene, not elsewhere classified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R03.0;"Elevated blood-pressure reading without diagnosis of
hypertension";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;R03.1;Nonspecific low blood-pressure reading;Dasar
